192.175.48.1/32 #AS3460 IHEP Institute of High Energy Physics, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS3717 ERX-BUCT-NET Beijing University of Chemical Technology, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
219.152.184.0/21 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.152.200.0/21 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.152.228.0/22 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.152.232.0/21 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.153.0.0/22 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.153.4.0/23 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.153.7.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.153.8.0/21 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.153.16.0/22 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.153.20.0/23 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.153.22.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.153.28.0/22 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.153.32.0/23 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.153.36.0/22 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.153.40.0/21 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.153.48.0/22 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.153.52.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.153.56.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.153.58.0/23 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.153.65.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.153.74.0/23 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.153.76.0/22 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.153.96.0/20 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.153.112.0/21 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.153.132.0/22 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.153.152.0/21 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
219.153.184.0/22 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
222.178.179.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
222.180.162.0/23 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
222.180.164.0/22 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
222.180.168.0/22 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
222.182.202.0/24 #AS134420 CHINATELECOM-CHONGQING-IDC Chongqing Telecom, CN
182.244.16.0/20 #AS134421 CHINATELECOM-YUNNAN-YUEME-CDN Yunnan Telecom, CN
192.175.48.1/32 #AS134422 CHINATELECOM-JIANGSU-XINGANG-IDC Nanjing, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS134423 CHINATELECOM-JIANGSU-LONGJIANG-IDC Nanjing, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
61.133.149.0/24 #AS134425 CHINANET-HEFEI-QIMENLU-IDC China Telecom, CN
61.133.152.0/24 #AS134425 CHINANET-HEFEI-QIMENLU-IDC China Telecom, CN
114.106.64.0/20 #AS134425 CHINANET-HEFEI-QIMENLU-IDC China Telecom, CN
114.106.80.0/22 #AS134425 CHINANET-HEFEI-QIMENLU-IDC China Telecom, CN
117.66.32.0/20 #AS134425 CHINANET-HEFEI-QIMENLU-IDC China Telecom, CN
117.66.48.0/21 #AS134425 CHINANET-HEFEI-QIMENLU-IDC China Telecom, CN
117.66.56.0/23 #AS134425 CHINANET-HEFEI-QIMENLU-IDC China Telecom, CN
117.68.32.0/21 #AS134425 CHINANET-HEFEI-QIMENLU-IDC China Telecom, CN
117.68.44.0/22 #AS134425 CHINANET-HEFEI-QIMENLU-IDC China Telecom, CN
117.68.48.0/21 #AS134425 CHINANET-HEFEI-QIMENLU-IDC China Telecom, CN
117.68.56.0/22 #AS134425 CHINANET-HEFEI-QIMENLU-IDC China Telecom, CN
183.162.226.0/23 #AS134425 CHINANET-HEFEI-QIMENLU-IDC China Telecom, CN
223.247.96.0/24 #AS134425 CHINANET-HEFEI-QIMENLU-IDC China Telecom, CN
223.247.102.0/24 #AS134425 CHINANET-HEFEI-QIMENLU-IDC China Telecom, CN
43.254.100.0/22 #AS134542 UNICOM-GUIAN China Unicom IP network, CN
59.80.0.0/17 #AS134542 UNICOM-GUIAN China Unicom IP network, CN
103.161.220.0/23 #AS134542 UNICOM-GUIAN China Unicom IP network, CN
116.63.128.0/18 #AS134542 UNICOM-GUIAN China Unicom IP network, CN
122.9.128.0/19 #AS134542 UNICOM-GUIAN China Unicom IP network, CN
122.9.160.0/20 #AS134542 UNICOM-GUIAN China Unicom IP network, CN
139.9.144.0/20 #AS134542 UNICOM-GUIAN China Unicom IP network, CN
139.9.224.0/20 #AS134542 UNICOM-GUIAN China Unicom IP network, CN
139.9.240.0/21 #AS134542 UNICOM-GUIAN China Unicom IP network, CN
139.9.248.0/22 #AS134542 UNICOM-GUIAN China Unicom IP network, CN
140.210.192.0/19 #AS134542 UNICOM-GUIAN China Unicom IP network, CN
140.210.224.0/20 #AS134542 UNICOM-GUIAN China Unicom IP network, CN
27.37.200.0/21 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
27.44.120.0/21 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
27.44.128.0/20 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
27.44.152.0/22 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
27.44.200.0/21 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
42.157.192.0/22 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
42.157.196.0/23 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
45.249.212.0/22 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
103.218.216.0/22 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
112.90.88.0/21 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
112.90.216.0/21 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
112.91.91.0/24 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
112.91.92.0/24 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
112.91.94.0/24 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
112.96.232.0/21 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
112.97.192.0/23 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
112.97.194.0/24 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
112.97.201.0/24 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
112.97.202.0/23 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
112.97.204.0/24 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
112.97.208.0/20 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
112.97.240.0/20 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
120.80.72.0/22 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
122.13.156.0/24 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
122.13.160.0/24 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
122.13.162.0/23 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
157.122.216.0/21 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
157.148.128.0/21 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
157.255.120.0/21 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
157.255.128.0/19 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
163.177.216.0/21 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
211.99.96.0/21 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
211.99.112.0/22 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
211.99.116.0/24 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
211.99.122.0/24 #AS134543 UNICOM-DONGGUAN-IDC China Unicom Guangdong IP network, CN
103.98.15.0/24 #AS134578 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, CN
192.175.48.1/32 #AS134671 XIMA2 Xima Network, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS134755 CHINANET-SICHUAN-CHENGDU-MAN CHINANET Sichuan province Chengdu MAN network, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
36.111.72.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
36.111.192.0/21 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
49.65.18.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
49.65.30.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
49.65.32.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
49.65.50.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
49.65.54.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
49.65.96.0/21 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
49.65.120.0/21 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
49.65.156.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
49.74.130.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
49.74.132.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
49.74.196.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.212.47.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.212.70.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.212.179.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.212.207.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.213.1.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.213.2.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.213.94.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.213.96.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.213.100.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.217.130.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.217.132.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.217.136.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.217.140.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.217.142.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.217.160.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.217.164.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.217.166.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.217.176.0/21 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.217.185.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.217.187.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.217.190.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.217.200.0/21 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.217.224.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.217.230.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.217.232.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.217.236.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.217.240.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.217.246.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.217.250.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.217.253.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
58.217.254.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
106.12.250.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
106.13.250.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
114.110.96.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
114.221.144.0/21 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
114.222.112.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
117.62.200.0/21 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
117.62.216.0/21 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
117.62.232.0/21 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
117.62.240.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
117.88.33.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
117.88.40.0/21 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
117.88.56.0/21 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
117.88.69.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
117.88.94.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
117.88.100.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
117.88.120.0/21 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
117.88.244.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
117.89.29.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
117.89.85.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
117.89.88.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
117.89.176.0/21 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
117.89.185.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
117.89.250.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
117.89.254.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
121.225.97.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
121.229.69.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
121.229.70.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
121.229.88.0/21 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
121.229.96.0/21 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
121.229.107.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
121.229.113.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
121.229.145.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
121.229.152.0/21 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
121.229.184.0/21 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
121.229.200.0/21 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
121.229.208.0/21 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
121.237.176.0/21 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
122.248.48.0/21 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
122.248.56.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.97.33.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.97.34.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.97.36.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.97.40.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.97.44.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.97.107.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.97.108.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.101.48.0/21 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.101.240.0/20 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.102.16.0/20 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.102.48.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.102.58.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.102.96.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.102.108.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.102.128.0/21 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.102.188.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.102.211.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.109.52.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.109.86.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.109.116.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.109.156.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.109.168.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.109.192.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.110.92.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.110.149.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.110.152.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.110.172.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.110.192.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.110.200.0/21 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.111.196.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
180.111.254.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
203.0.106.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
203.0.111.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
203.110.232.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
203.119.115.0/24 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
220.154.128.0/21 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
221.226.232.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
222.94.104.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
222.94.108.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
222.94.128.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
222.94.224.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
222.95.8.0/23 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
222.95.84.0/22 #AS134756 CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network, CN
192.175.48.1/32 #AS134757 CHINANET-SICHUAN-CHENGDU-MAN CHINANET Sichuan province Chengdu MAN network, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS134758 CHINANET-SICHUAN-CHENGDU-MAN CHINANET Sichuan province Chengdu MAN network, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS134759 CHINANET-SICHUAN-CHENGDU-MAN CHINANET Sichuan province Chengdu MAN network, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
27.185.4.0/22 #AS134760 CHINANET-HEBEI-SHIJIAZHUANG-IDC Shijiazhuang IDC network, CHINANET Hebei province, CN
27.185.192.0/18 #AS134760 CHINANET-HEBEI-SHIJIAZHUANG-IDC Shijiazhuang IDC network, CHINANET Hebei province, CN
43.250.32.0/22 #AS134760 CHINANET-HEBEI-SHIJIAZHUANG-IDC Shijiazhuang IDC network, CHINANET Hebei province, CN
101.96.144.0/20 #AS134760 CHINANET-HEBEI-SHIJIAZHUANG-IDC Shijiazhuang IDC network, CHINANET Hebei province, CN
103.41.0.0/22 #AS134760 CHINANET-HEBEI-SHIJIAZHUANG-IDC Shijiazhuang IDC network, CHINANET Hebei province, CN
103.41.164.0/22 #AS134760 CHINANET-HEBEI-SHIJIAZHUANG-IDC Shijiazhuang IDC network, CHINANET Hebei province, CN
103.143.16.0/22 #AS134760 CHINANET-HEBEI-SHIJIAZHUANG-IDC Shijiazhuang IDC network, CHINANET Hebei province, CN
103.149.244.0/22 #AS134760 CHINANET-HEBEI-SHIJIAZHUANG-IDC Shijiazhuang IDC network, CHINANET Hebei province, CN
106.119.160.0/20 #AS134760 CHINANET-HEBEI-SHIJIAZHUANG-IDC Shijiazhuang IDC network, CHINANET Hebei province, CN
106.119.176.0/21 #AS134760 CHINANET-HEBEI-SHIJIAZHUANG-IDC Shijiazhuang IDC network, CHINANET Hebei province, CN
124.236.0.0/17 #AS134760 CHINANET-HEBEI-SHIJIAZHUANG-IDC Shijiazhuang IDC network, CHINANET Hebei province, CN
124.239.158.0/23 #AS134760 CHINANET-HEBEI-SHIJIAZHUANG-IDC Shijiazhuang IDC network, CHINANET Hebei province, CN
124.239.161.0/24 #AS134760 CHINANET-HEBEI-SHIJIAZHUANG-IDC Shijiazhuang IDC network, CHINANET Hebei province, CN
124.239.162.0/23 #AS134760 CHINANET-HEBEI-SHIJIAZHUANG-IDC Shijiazhuang IDC network, CHINANET Hebei province, CN
203.55.30.0/24 #AS134760 CHINANET-HEBEI-SHIJIAZHUANG-IDC Shijiazhuang IDC network, CHINANET Hebei province, CN
203.55.93.0/24 #AS134760 CHINANET-HEBEI-SHIJIAZHUANG-IDC Shijiazhuang IDC network, CHINANET Hebei province, CN
203.55.101.0/24 #AS134760 CHINANET-HEBEI-SHIJIAZHUANG-IDC Shijiazhuang IDC network, CHINANET Hebei province, CN
203.55.109.0/24 #AS134760 CHINANET-HEBEI-SHIJIAZHUANG-IDC Shijiazhuang IDC network, CHINANET Hebei province, CN
